index,midi_note,source,theoretical_hz,ftw,quantized_hz,quantization_error_hz,expected_left_peak,expected_right_peak
0,36,63,65.40639132514966,5852465,65.40639325976372,1.934614061838147e-06,29026.36415863037,9675.454719543457
1,37,63,69.29565774421802,6200470,69.29565221071243,-5.533505586186038e-06,9675.454719543457,29026.36415863037
2,38,63,73.41619197935188,6569170,73.41619580984116,3.830489276879234e-06,29026.36415863037,9675.454719543457
3,39,63,77.78174593052023,6959793,77.78174802660942,2.0960891902177536e-06,9675.454719543457,29026.36415863037
4,40,63,82.4068892282175,7373644,82.4068933725357,4.144318211274367e-06,29026.36415863037,9675.454719543457
5,41,63,87.30705785825097,7812103,87.30705454945564,-3.3087953283938987e-06,9675.454719543457,29026.36415863037
6,42,63,92.4986056779086,8276635,92.49860420823097,-1.469677627596866e-06,29026.36415863037,9675.454719543457
7,43,63,97.99885899543733,8768789,97.99885377287865,-5.222558684181422e-06,9675.454719543457,29026.36415863037
8,44,63,103.82617439498628,9290209,103.82617637515068,1.980164398673878e-06,29026.36415863037,9675.454719543457
9,45,63,110.0,9842633,109.99999567866325,-4.32133674621582e-06,9675.454719543457,29026.36415863037
10,46,63,116.54094037952248,10427907,116.54094234108925,1.961566766794931e-06,29026.36415863037,9675.454719543457
11,47,63,123.47082531403103,11047982,123.47082048654556,-4.827485469149906e-06,9675.454719543457,29026.36415863037
12,48,63,130.8127826502993,11704930,130.81278651952744,3.869228123676294e-06,29026.36415863037,9675.454719543457
13,49,63,138.59131548843604,12400941,138.59131559729576,1.0885972301366564e-07,9675.454719543457,29026.36415863037
14,50,63,146.8323839587038,13138339,146.83238044381142,-3.514892370048983e-06,29026.36415863037,9675.454719543457
15,51,63,155.56349186104046,13919586,155.56349605321884,4.192178380435507e-06,9675.454719543457,29026.36415863037
16,52,63,164.81377845643496,14747287,164.81377556920052,-2.8872344444152986e-06,29026.36415863037,9675.454719543457
17,53,63,174.61411571650194,15624207,174.61412027478218,4.558280238597945e-06,9675.454719543457,29026.36415863037
18,54,63,184.9972113558172,16553270,184.99720841646194,-2.939355255193732e-06,29026.36415863037,9675.454719543457
19,55,63,195.99771799087463,17537579,195.9977187216282,7.307535554446076e-07,9675.454719543457,29026.36415863037
20,56,63,207.65234878997256,18580418,207.65235275030136,3.960328797347756e-06,29026.36415863037,9675.454719543457
21,57,63,220.0,19685267,220.0000025331974,2.5331974029541016e-06,9675.454719543457,29026.36415863037
22,58,63,233.08188075904496,20855814,233.0818846821785,3.923133533589862e-06,29026.36415863037,9675.454719543457
23,59,63,246.94165062806206,22095965,246.94165214896202,1.5208999570859305e-06,9675.454719543457,29026.36415863037
24,60,63,261.6255653005986,23409859,261.625561863184,-3.4374146480331547e-06,29026.36415863037,9675.454719543457
25,61,63,277.1826309768721,24801882,277.1826311945915,2.177194460273313e-07,9675.454719543457,29026.36415863037
26,62,63,293.6647679174076,26276679,293.66477206349373,4.146086155287776e-06,29026.36415863037,9675.454719543457
27,63,63,311.1269837220809,27839171,311.1269809305668,-2.7915141345147276e-06,9675.454719543457,29026.36415863037
